customer_code,customer,market,platform,channel
90022075,BestBuy,USA,Brick & Mortar,Retailer
90022079,walmart,USA,Brick & Mortar,Retailer
90022078,Costco,USA,Brick & Mortar,Retailer
90022083,Ebay,USA,E-Commerce,Retailer
90022080,Staples,USA,Brick & Mortar,Retailer
90022081,Amazon,USA,E-Commerce,Retailer
90022082,Amazon,USA,E-Commerce,Retailer
90002007,Girias,India,Brick & Mortar,Retailer
90002006,Viveks,India,Brick & Mortar,Retailer
90002009,Flipkart,India,E-Commerce,Retailer
90002008,Amazon,India,E-Commerce,Retailer
90002005,Lotus,India,Brick & Mortar,Retailer
90002002,Croma,India,Brick & Mortar,Retailer
90002001,Reliance Digital,India,Brick & Mortar,Retailer
90002004,Vijay Sales,India,Brick & Mortar,Retailer
90002003,Ezone,India,Brick & Mortar,Retailer
90002016,Amazon,India,E-Commerce,Retailer
90002015,Propel,India,Brick & Mortar,Retailer
90002014,Expression,India,Brick & Mortar,Retailer
90002011,Atliq Exclusive,India,Brick & Mortar,Retailer
90002010,Ebay,India,E-Commerce,Retailer
90002013,Electricalslytical,India,Brick & Mortar,Retailer
90002012,Electricalsocity,India,Brick & Mortar,Retailer
