product_code,division,segment,category,product,variant
A4419110406,PC,Notebook,Personal Laptop,AQ Elite,Plus Red
A4419110405,PC,Notebook,Personal Laptop,AQ Elite,Plus Blue
A4419110404,PC,Notebook,Personal Laptop,AQ Elite,Plus Grey
A4419110402,PC,Notebook,Personal Laptop,AQ Elite,Standard Blue
A4419110401,PC,Notebook,Personal Laptop,AQ Elite,Standard Grey
A4319110306,PC,Notebook,Personal Laptop,AQ Velocity,Plus Red
A4319110305,PC,Notebook,Personal Laptop,AQ Velocity,Plus Blue
A4319110304,PC,Notebook,Personal Laptop,AQ Velocity,Plus Grey
A4319110302,PC,Notebook,Personal Laptop,AQ Velocity,Standard Blue
A4318110301,PC,Notebook,Personal Laptop,AQ Velocity,Standard Grey
A4218110208,PC,Notebook,Personal Laptop,AQ Digit,Premium Misty Green
A4218110207,PC,Notebook,Personal Laptop,AQ Digit,Premium Black
A4218110206,PC,Notebook,Personal Laptop,AQ Digit,Plus Red
A4218110205,PC,Notebook,Personal Laptop,AQ Digit,Plus Blue
A4218110204,PC,Notebook,Personal Laptop,AQ Digit,Plus Grey
A4218110202,PC,Notebook,Personal Laptop,AQ Digit,Standard Blue
A4218110201,PC,Notebook,Personal Laptop,AQ Digit,Standard Grey
A4118110107,PC,Notebook,Personal Laptop,AQ Aspiron,Premium Black
A4118110106,PC,Notebook,Personal Laptop,AQ Aspiron,Plus Red
A4118110105,PC,Notebook,Personal Laptop,AQ Aspiron,Plus Blue
A4118110104,PC,Notebook,Personal Laptop,AQ Aspiron,Plus Grey
A4118110102,PC,Notebook,Personal Laptop,AQ Aspiron,Standard Blue
A4118110101,PC,Notebook,Personal Laptop,AQ Aspiron,Standard Grey
A7321160303,N & S,Networking,Wi fi extender,AQ Wi Power Dx3,Premium
A7321160302,N & S,Networking,Wi fi extender,AQ Wi Power Dx3,Plus
A7321160301,N & S,Networking,Wi fi extender,AQ Wi Power Dx3,Standard
A7220160203,N & S,Networking,Wi fi extender,AQ Wi Power Dx2,Premium
A7220160202,N & S,Networking,Wi fi extender,AQ Wi Power Dx2,Plus
A7219160201,N & S,Networking,Wi fi extender,AQ Wi Power Dx2,Standard
A7119160103,N & S,Networking,Wi fi extender,AQ Wi Power Dx1,Premium
A7119160102,N & S,Networking,Wi fi extender,AQ Wi Power Dx1,Plus
A7118160101,N & S,Networking,Wi fi extender,AQ Wi Power Dx1,Standard
A7020160403,N & S,Storage,USB Flash Drives,AQ Ultra Dual 3.0,Premium
A7018160402,N & S,Storage,USB Flash Drives,AQ Ultra Dual 3.0,Plus
A7019160401,N & S,Storage,USB Flash Drives,AQ Ultra Dual 3.0,Standard
A6918160303,N & S,Storage,USB Flash Drives,AQ Ultra Dual 2.0,Premium
A6919160302,N & S,Storage,USB Flash Drives,AQ Ultra Dual 2.0,Plus
A6921160301,N & S,Storage,USB Flash Drives,AQ Ultra Dual 2.0,Standard
A6819160203,N & S,Storage,USB Flash Drives,AQ Pen Drive DRC,Premium
A6818160202,N & S,Storage,USB Flash Drives,AQ Pen Drive DRC,Plus
A6818160201,N & S,Storage,USB Flash Drives,AQ Pen Drive DRC,Standard
A6720160103,N & S,Storage,USB Flash Drives,AQ Pen Drive 2 IN 1,Premium
A6718160102,N & S,Storage,USB Flash Drives,AQ Pen Drive 2 IN 1,Plus
A6719160101,N & S,Storage,USB Flash Drives,AQ Pen Drive 2 IN 1,Standard
A6621160503,N & S,Storage,External Solid State Drives,AQ Clx3,Premium
A6620160502,N & S,Storage,External Solid State Drives,AQ Clx3,Plus
A6620160501,N & S,Storage,External Solid State Drives,AQ Clx3,Standard
A6520160403,N & S,Storage,External Solid State Drives,AQ Clx2,Premium
A6520160402,N & S,Storage,External Solid State Drives,AQ Clx2,Plus
A6519160401,N & S,Storage,External Solid State Drives,AQ Clx2,Standard
A6419160303,N & S,Storage,External Solid State Drives,AQ Clx1,Premium
A6419160302,N & S,Storage,External Solid State Drives,AQ Clx1,Plus
A6419160301,N & S,Storage,External Solid State Drives,AQ Clx1,Standard
A6319160203,N & S,Storage,External Solid State Drives,AQ Neuer SSD,Premium
A6319160202,N & S,Storage,External Solid State Drives,AQ Neuer SSD,Plus
A6319160201,N & S,Storage,External Solid State Drives,AQ Neuer SSD,Standard
A6219160103,N & S,Storage,External Solid State Drives,AQ Digit SSD,Premium
A6218160102,N & S,Storage,External Solid State Drives,AQ Digit SSD,Plus
A6218160101,N & S,Storage,External Solid State Drives,AQ Digit SSD,Standard
A6121110208,PC,Desktop,Personal Desktop,AQ HOME Allin1 Gen 2,Premium 2
A6120110207,PC,Desktop,Personal Desktop,AQ HOME Allin1 Gen 2,Premium 1
A6120110205,PC,Desktop,Personal Desktop,AQ HOME Allin1 Gen 2,Plus 2
A6119110203,PC,Desktop,Personal Desktop,AQ HOME Allin1 Gen 2,Standard 3
A6119110202,PC,Desktop,Personal Desktop,AQ HOME Allin1 Gen 2,Standard 2
A6119110201,PC,Desktop,Personal Desktop,AQ HOME Allin1 Gen 2,Standard 1
A6019110108,PC,Desktop,Personal Desktop,AQ Home Allin1,Premium 2
A6019110107,PC,Desktop,Personal Desktop,AQ Home Allin1,Premium 1
A6018110105,PC,Desktop,Personal Desktop,AQ Home Allin1,Plus 2
A6018110103,PC,Desktop,Personal Desktop,AQ Home Allin1,Standard 3
A6018110102,PC,Desktop,Personal Desktop,AQ Home Allin1,Standard 2
A6018110101,PC,Desktop,Personal Desktop,AQ Home Allin1,Standard 1
A2021150504,P & A,Peripherals,MotherBoard,AQ MB Lito 2,Premium
A2021150503,P & A,Peripherals,MotherBoard,AQ MB Lito 2,Plus 2
A2020150501,P & A,Peripherals,MotherBoard,AQ MB Lito 2,Standard
A1920150404,P & A,Peripherals,MotherBoard,AQ MB Lito,Premium
A1919150403,P & A,Peripherals,MotherBoard,AQ MB Lito,Plus 2
A1919150401,P & A,Peripherals,MotherBoard,AQ MB Lito,Standard
A1819150304,P & A,Peripherals,MotherBoard,AQ MB Crossx 2,Premium
A1819150303,P & A,Peripherals,MotherBoard,AQ MB Crossx 2,Plus 2
A1819150301,P & A,Peripherals,MotherBoard,AQ MB Crossx 2,Standard
A1718150204,P & A,Peripherals,MotherBoard,AQ MB Crossx,Premium
A1718150203,P & A,Peripherals,MotherBoard,AQ MB Crossx,Plus 2
A1718150201,P & A,Peripherals,MotherBoard,AQ MB Crossx,Standard
A1618150104,P & A,Peripherals,MotherBoard,AQ MB Elite,Premium
A1618150103,P & A,Peripherals,MotherBoard,AQ MB Elite,Plus 2
A1618150101,P & A,Peripherals,MotherBoard,AQ MB Elite,Standard
A1521150603,P & A,Peripherals,Processors,AQ Electron 3 3600 Desktop Processor,Premium
A1521150602,P & A,Peripherals,Processors,AQ Electron 3 3600 Desktop Processor,Plus
A1521150601,P & A,Peripherals,Processors,AQ Electron 3 3600 Desktop Processor,Standard
A1421150503,P & A,Peripherals,Processors,AQ Electron 4 3600 Desktop Processor,Premium
A1420150502,P & A,Peripherals,Processors,AQ Electron 4 3600 Desktop Processor,Plus
A1420150501,P & A,Peripherals,Processors,AQ Electron 4 3600 Desktop Processor,Standard
A1320150403,P & A,Peripherals,Processors,AQ Electron 5 3600 Desktop Processor,Premium
A1320150402,P & A,Peripherals,Processors,AQ Electron 5 3600 Desktop Processor,Plus
A1319150401,P & A,Peripherals,Processors,AQ Electron 5 3600 Desktop Processor,Standard
A1219150303,P & A,Peripherals,Processors,AQ 5000 Series Ultron 8 5900X Desktop Processor,Premium
A1219150302,P & A,Peripherals,Processors,AQ 5000 Series Ultron 8 5900X Desktop Processor,Plus
A1219150301,P & A,Peripherals,Processors,AQ 5000 Series Ultron 8 5900X Desktop Processor,Standard
A1119150203,P & A,Peripherals,Processors,AQ 5000 Series Electron 8 5900X Desktop Processor,Premium
A1118150202,P & A,Peripherals,Processors,AQ 5000 Series Electron 8 5900X Desktop Processor,Plus
A1118150201,P & A,Peripherals,Processors,AQ 5000 Series Electron 8 5900X Desktop Processor,Standard
A1018150103,P & A,Peripherals,Processors,AQ 5000 Series Electron 9 5900X Desktop Processor,Premium
A1018150102,P & A,Peripherals,Processors,AQ 5000 Series Electron 9 5900X Desktop Processor,Plus
A1018150101,P & A,Peripherals,Processors,AQ 5000 Series Electron 9 5900X Desktop Processor,Standard
A0921150604,P & A,Peripherals,Graphic Card,AQ Marquee P4,Premium
A0921150603,P & A,Peripherals,Graphic Card,AQ Marquee P4,Plus 2
A0921150601,P & A,Peripherals,Graphic Card,AQ Marquee P4,Standard
A0821150504,P & A,Peripherals,Graphic Card,AQ Marquee P3,Premium
A0821150503,P & A,Peripherals,Graphic Card,AQ Marquee P3,Plus 2
A0821150501,P & A,Peripherals,Graphic Card,AQ Marquee P3,Standard
A0721150404,P & A,Peripherals,Graphic Card,AQ GT 21,Premium
A0721150403,P & A,Peripherals,Graphic Card,AQ GT 21,Plus 2
A0721150401,P & A,Peripherals,Graphic Card,AQ GT 21,Standard
A0621150308,P & A,Peripherals,Graphic Card,AQ Mforce Gen Z,Premium 2
A0621150307,P & A,Peripherals,Graphic Card,AQ Mforce Gen Z,Premium 1
A0620150305,P & A,Peripherals,Graphic Card,AQ Mforce Gen Z,Plus 2
A0620150303,P & A,Peripherals,Graphic Card,AQ Mforce Gen Z,Standard 3
A0619150302,P & A,Peripherals,Graphic Card,AQ Mforce Gen Z,Standard 2
A0619150301,P & A,Peripherals,Graphic Card,AQ Mforce Gen Z,Standard 1
A0519150208,P & A,Peripherals,Graphic Card,AQ Mforce Gen Y,Premium 2
A0519150207,P & A,Peripherals,Graphic Card,AQ Mforce Gen Y,Premium 1
A0519150205,P & A,Peripherals,Graphic Card,AQ Mforce Gen Y,Plus 2
A0519150203,P & A,Peripherals,Graphic Card,AQ Mforce Gen Y,Standard 3
A0519150202,P & A,Peripherals,Graphic Card,AQ Mforce Gen Y,Standard 2
A0519150201,P & A,Peripherals,Graphic Card,AQ Mforce Gen Y,Standard 1
A0418150108,P & A,Peripherals,Graphic Card,AQ Mforce Gen X,Premium 2
A0418150107,P & A,Peripherals,Graphic Card,AQ Mforce Gen X,Premium 1
A0418150105,P & A,Peripherals,Graphic Card,AQ Mforce Gen X,Plus 2
A0418150103,P & A,Peripherals,Graphic Card,AQ Mforce Gen X,Standard 3
A0418150102,P & A,Peripherals,Graphic Card,AQ Mforce Gen X,Standard 2
A0418150101,P & A,Peripherals,Graphic Card,AQ Mforce Gen X,Standard 1
A0321150303,P & A,Peripherals,Internal HDD,AQ Zion Saga,Premium
A0321150302,P & A,Peripherals,Internal HDD,AQ Zion Saga,Plus
A0320150301,P & A,Peripherals,Internal HDD,AQ Zion Saga,Standard
A0220150203,P & A,Peripherals,Internal HDD,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium
A0219150202,P & A,Peripherals,Internal HDD,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus
A0219150201,P & A,Peripherals,Internal HDD,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard
A0118150104,P & A,Peripherals,Internal HDD,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus
A0118150103,P & A,Peripherals,Internal HDD,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium
A0118150102,P & A,Peripherals,Internal HDD,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus
A0118150101,P & A,Peripherals,Internal HDD,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard
A4021150405,P & A,Accessories,Batteries,AQ Mx NB,Premium
A4021150403,P & A,Accessories,Batteries,AQ Mx NB,Plus 2
A4020150401,P & A,Accessories,Batteries,AQ Mx NB,Standard
A3920150305,P & A,Accessories,Batteries,AQ LION x3,Premium
A3920150303,P & A,Accessories,Batteries,AQ LION x3,Plus 2
A3920150301,P & A,Accessories,Batteries,AQ LION x3,Standard
A3819150205,P & A,Accessories,Batteries,AQ LION x2,Premium
A3819150203,P & A,Accessories,Batteries,AQ LION x2,Plus 2
A3818150201,P & A,Accessories,Batteries,AQ LION x2,Standard
A3718150105,P & A,Accessories,Batteries,AQ LION x1,Premium
A3718150103,P & A,Accessories,Batteries,AQ LION x1,Plus 2
A3718150101,P & A,Accessories,Batteries,AQ LION x1,Standard
A3621150806,P & A,Accessories,Keyboard,AQ Lumina,Premium 2
A3621150805,P & A,Accessories,Keyboard,AQ Lumina,Premium 1
A3621150804,P & A,Accessories,Keyboard,AQ Lumina,Plus 2
A3621150802,P & A,Accessories,Keyboard,AQ Lumina,Standard 2
A3621150801,P & A,Accessories,Keyboard,AQ Lumina,Standard 1
A3521150706,P & A,Accessories,Keyboard,AQ Trigger,Premium 2
A3521150705,P & A,Accessories,Keyboard,AQ Trigger,Premium 1
A3521150704,P & A,Accessories,Keyboard,AQ Trigger,Plus 2
A3521150702,P & A,Accessories,Keyboard,AQ Trigger,Standard 2
A3521150701,P & A,Accessories,Keyboard,AQ Trigger,Standard 1
A3421150606,P & A,Accessories,Keyboard,AQ Qwerty,Premium 2
A3421150605,P & A,Accessories,Keyboard,AQ Qwerty,Premium 1
A3421150604,P & A,Accessories,Keyboard,AQ Qwerty,Plus 2
A3420150602,P & A,Accessories,Keyboard,AQ Qwerty,Standard 2
A3420150601,P & A,Accessories,Keyboard,AQ Qwerty,Standard 1
A3320150506,P & A,Accessories,Keyboard,AQ Maxima,Premium 2
A3320150505,P & A,Accessories,Keyboard,AQ Maxima,Premium 1
A3320150504,P & A,Accessories,Keyboard,AQ Maxima,Plus 2
A3320150502,P & A,Accessories,Keyboard,AQ Maxima,Standard 2
A3320150501,P & A,Accessories,Keyboard,AQ Maxima,Standard 1
A3220150406,P & A,Accessories,Keyboard,AQ Lite,Premium 2
A3220150405,P & A,Accessories,Keyboard,AQ Lite,Premium 1
A3220150404,P & A,Accessories,Keyboard,AQ Lite,Plus 2
A3220150402,P & A,Accessories,Keyboard,AQ Lite,Standard 2
A3220150401,P & A,Accessories,Keyboard,AQ Lite,Standard 1
A3120150306,P & A,Accessories,Keyboard,AQ Gamers,Premium 2
A3120150305,P & A,Accessories,Keyboard,AQ Gamers,Premium 1
A3120150304,P & A,Accessories,Keyboard,AQ Gamers,Plus 2
A3119150302,P & A,Accessories,Keyboard,AQ Gamers,Standard 2
A3119150301,P & A,Accessories,Keyboard,AQ Gamers,Standard 1
A3019150206,P & A,Accessories,Keyboard,AQ Master wireless x1,Premium 2
A3019150205,P & A,Accessories,Keyboard,AQ Master wireless x1,Premium 1
A3019150204,P & A,Accessories,Keyboard,AQ Master wireless x1,Plus 2
A3018150202,P & A,Accessories,Keyboard,AQ Master wireless x1,Standard 2
A3018150201,P & A,Accessories,Keyboard,AQ Master wireless x1,Standard 1
A2918150106,P & A,Accessories,Keyboard,AQ Master wired x1,Premium 2
A2918150105,P & A,Accessories,Keyboard,AQ Master wired x1,Premium 1
A2918150104,P & A,Accessories,Keyboard,AQ Master wired x1,Plus 2
A2918150102,P & A,Accessories,Keyboard,AQ Master wired x1,Standard 2
A2918150101,P & A,Accessories,Keyboard,AQ Master wired x1,Standard 1
A2821150806,P & A,Accessories,Mouse,AQ Lumina Ms,Premium 2
A2821150805,P & A,Accessories,Mouse,AQ Lumina Ms,Premium 1
A2821150804,P & A,Accessories,Mouse,AQ Lumina Ms,Plus 2
A2821150802,P & A,Accessories,Mouse,AQ Lumina Ms,Standard 2
A2821150801,P & A,Accessories,Mouse,AQ Lumina Ms,Standard 1
A2721150706,P & A,Accessories,Mouse,AQ Trigger Ms,Premium 2
A2721150705,P & A,Accessories,Mouse,AQ Trigger Ms,Premium 1
A2721150704,P & A,Accessories,Mouse,AQ Trigger Ms,Plus 2
A2721150702,P & A,Accessories,Mouse,AQ Trigger Ms,Standard 2
A2720150701,P & A,Accessories,Mouse,AQ Trigger Ms,Standard 1
A2620150606,P & A,Accessories,Mouse,AQ Qwerty Ms,Premium 2
A2620150605,P & A,Accessories,Mouse,AQ Qwerty Ms,Premium 1
A2620150604,P & A,Accessories,Mouse,AQ Qwerty Ms,Plus 2
A2620150602,P & A,Accessories,Mouse,AQ Qwerty Ms,Standard 2
A2620150601,P & A,Accessories,Mouse,AQ Qwerty Ms,Standard 1
A2520150506,P & A,Accessories,Mouse,AQ Maxima Ms,Premium 2
A2520150505,P & A,Accessories,Mouse,AQ Maxima Ms,Premium 1
A2520150504,P & A,Accessories,Mouse,AQ Maxima Ms,Plus 2
A2520150502,P & A,Accessories,Mouse,AQ Maxima Ms,Standard 2
A2520150501,P & A,Accessories,Mouse,AQ Maxima Ms,Standard 1
A2420150406,P & A,Accessories,Mouse,AQ Lite Ms,Premium 2
A2419150405,P & A,Accessories,Mouse,AQ Lite Ms,Premium 1
A2419150404,P & A,Accessories,Mouse,AQ Lite Ms,Plus 2
A2419150402,P & A,Accessories,Mouse,AQ Lite Ms,Standard 2
A2419150401,P & A,Accessories,Mouse,AQ Lite Ms,Standard 1
A2319150306,P & A,Accessories,Mouse,AQ Gamers Ms,Premium 2
A2319150305,P & A,Accessories,Mouse,AQ Gamers Ms,Premium 1
A2319150304,P & A,Accessories,Mouse,AQ Gamers Ms,Plus 2
A2319150302,P & A,Accessories,Mouse,AQ Gamers Ms,Standard 2
A2319150301,P & A,Accessories,Mouse,AQ Gamers Ms,Standard 1
A2219150206,P & A,Accessories,Mouse,AQ Master wireless x1 Ms,Premium 2
A2219150205,P & A,Accessories,Mouse,AQ Master wireless x1 Ms,Premium 1
A2219150204,P & A,Accessories,Mouse,AQ Master wireless x1 Ms,Plus 2
A2218150202,P & A,Accessories,Mouse,AQ Master wireless x1 Ms,Standard 2
A2218150201,P & A,Accessories,Mouse,AQ Master wireless x1 Ms,Standard 1
A2118150106,P & A,Accessories,Mouse,AQ Master wired x1 Ms,Premium 2
A2118150105,P & A,Accessories,Mouse,AQ Master wired x1 Ms,Premium 1
A2118150104,P & A,Accessories,Mouse,AQ Master wired x1 Ms,Plus 2
A2118150102,P & A,Accessories,Mouse,AQ Master wired x1 Ms,Standard 2
A2118150101,P & A,Accessories,Mouse,AQ Master wired x1 Ms,Standard 1
